ngram,count
zz 0 0 0,44
zz - component of,69
zz component of the,110
zz . ) _END_,39
zz ' . _END_,35
zz ) ; _END_,23
zz ) . _END_,238
zz . ) _END_,10
zz ' . _END_,22
zz ) ; _END_,4
zz ) . _END_,83
zz . ) _END_,3
zz ' . _END_,15
zz ) ; _END_,9
zz ) . _END_,69
zz ' . _END_,8
zz ) ; _END_,8
zz ) . _END_,76
zz . ) _END_,6
zz ) . _END_,62
zz - plane .,81
zz This ancient water,73
zz - zz -,57
Zz ) . _END_,62
Zz - From the,60
ZZ 0 0 0,50
ZZ ^ ^ ^,44
ZZ ) and females,40
ZZ ) and the,49
ZZ and the female,40
ZZ Ceti stars .,53
ZZ command . _END_,42
"ZZ . "" _END_",19
ZZ ' ; _END_,22
ZZ ' . _END_,30
ZZ ) . _END_,213
"ZZ . "" _END_",4
ZZ ' ; _END_,14
ZZ ' . _END_,32
ZZ ) . _END_,165
"ZZ . "" _END_",21
ZZ ' ; _END_,6
ZZ ' . _END_,39
ZZ ) . _END_,55
ZZ ' ; _END_,8
ZZ ' . _END_,24
ZZ ) . _END_,28
ZZ ' . _END_,20
ZZ ) . _END_,30
"ZZ . "" _END_",6
ZZ ' . _END_,18
ZZ ) . _END_,30
ZZ ' . _END_,7
ZZ ) . _END_,21
ZZ ' . _END_,24
ZZ ) . _END_,16
ZZ ' . _END_,9
ZZ ) . _END_,36
ZZ ' is the,47
ZZ phenotype . _END_,44
"ZZ Top . """,44
ZZ Top . _END_,570
ZZ Top ' s,7
"ZZ Top 's """,32
ZZ Top ' s,12
"ZZ Top 's """,10
ZZ Top ' s,15
"ZZ Top 's """,3
ZZ Top ' s,8
"ZZ Top 's """,12
ZZ Top ' s,5
"ZZ Top 's """,54
ZZ / ZW sex,49
Z.Z. Polym . _END_,103
ZZ_. '_. ._. _END_,49
zz_ADJ -_. component_NOUN of_ADP,65
zz_ADJ -_. plane_NOUN ._.,81
zz_ADJ -_. zz_ADJ -_.,52
Zz_ADJ -_. From_ADP the_DET,60
zz_NOUN component_NOUN of_ADP the_DET,102
zz_NOUN )_. ._. _END_,101
Z.Z._NOUN Polym_NOUN ._. _END_,103
ZZ_NOUN Ceti_NOUN stars_NOUN ._.,53
ZZ_NOUN command_NOUN ._. _END_,41
ZZ_NOUN '_. ._. _END_,23
ZZ_NOUN )_. ._. _END_,116
ZZ_NOUN '_. ._. _END_,28
ZZ_NOUN )_. ._. _END_,20
ZZ_NOUN '_. ._. _END_,30
ZZ_NOUN )_. ._. _END_,21
ZZ_NOUN '_. ._. _END_,24
ZZ_NOUN )_. ._. _END_,44
ZZ_NOUN '_. ._. _END_,10
ZZ_NOUN )_. ._. _END_,20
ZZ_NOUN '_. ._. _END_,6
ZZ_NOUN )_. ._. _END_,69
ZZ_NOUN '_NOUN is_VERB the_DET,46
"ZZ_NOUN Top_NOUN ._. ""_.",44
ZZ_NOUN Top_NOUN ._. _END_,570
ZZ_NOUN Top_NOUN '_PRT s_PRT,47
"ZZ_NOUN Top_NOUN 's_PRT ""_.",111
ZZ_NUM /_NUM ZW_NUM sex_NOUN,48
zzril delenit augue duis,151
zzril_X delenit_X augue_X duis_X,151
Zzumph ! ) _END_,45
Zzumph! ) Next word,44
Zzumph!_NOUN )_. Next_ADJ word_NOUN,44
Zzumph_X !_. )_. _END_,45
zz_VERB This_DET ancient_ADJ water_NOUN,73
ZZ_VERB '_. ._. _END_,44
zz_X ._. )_. _END_,27
zz_X )_. ._. _END_,98
zz_X ._. )_. _END_,8
zz_X )_. ._. _END_,174
zz_X ._. )_. _END_,6
zz_X )_. ._. _END_,122
ZZ_X )_. and_CONJ the_DET,40
ZZ_X )_. ._. _END_,299
"zzz . "" _END_",15
zzz ) . _END_,13
"zzz . "" _END_",18
zzz ) . _END_,14
"zzz . "" _END_",15
zzz ) . _END_,22
"zzz . "" _END_",7
zzz 's . _END_,113
zzz_NOUN 's_PRT ._. _END_,108
"zzzz . "" _END_",40
zzzz 's . _END_,43
ZZZZ Best . _END_,78
ZZZZ Best Sec .,54
ZZZZ Best Securities Litigation,56
zzzz_NOUN 's_PRT ._. _END_,41
ZZZZ_NOUN Best_NOUN ._. _END_,76
ZZZZ_NOUN Best_NOUN Sec_NOUN ._.,53
ZZZZ_NOUN Best_NOUN Securities_NOUN Litigation_NOUN,56
ZZZZZZ ... Shamans &,89
